,objectid,id,datetime,cloruro,SHAPE
144,576,chapo_cap1,2021-10-29 04:58:06,72.67,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
145,580,chapo_cap1,2021-10-29 04:59:06,71.8,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
146,584,chapo_cap1,2021-10-29 05:00:06,71.95,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
147,588,chapo_cap1,2021-10-29 05:01:06,71.88,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
148,592,chapo_cap1,2021-10-29 05:02:06,72.33,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
149,596,chapo_cap1,2021-10-29 05:03:06,72.6,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
150,600,chapo_cap1,2021-10-29 05:04:06,67.11,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
151,604,chapo_cap1,2021-10-29 05:05:06,69.67,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
152,608,chapo_cap1,2021-10-29 05:06:06,69.98,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
153,612,chapo_cap1,2021-10-29 05:07:06,70.64,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
154,616,chapo_cap1,2021-10-29 05:08:06,71.8,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
155,620,chapo_cap1,2021-10-29 05:09:06,72.41,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
156,625,chapo_cap1,2021-10-29 05:00:00,72.74,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
157,628,chapo_cap1,2021-10-29 05:00:00,72.73,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
158,632,chapo_cap1,2021-10-29 05:12:06,72.19,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
159,636,chapo_cap1,2021-10-29 05:13:06,72.44,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
160,640,chapo_cap1,2021-10-29 05:14:06,72.66,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
161,645,chapo_cap1,2021-10-29 05:15:06,72.23,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
162,648,chapo_cap1,2021-10-29 05:16:06,72.27,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
163,652,chapo_cap1,2021-10-29 05:17:06,72.2,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
164,656,chapo_cap1,2021-10-29 05:18:06,67.56,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
165,660,chapo_cap1,2021-10-29 05:19:06,69.39,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
166,664,chapo_cap1,2021-10-29 05:20:06,69.93,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
167,668,chapo_cap1,2021-10-29 05:21:06,71.09,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
168,672,chapo_cap1,2021-10-29 05:22:06,72.04,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
169,676,chapo_cap1,2021-10-29 05:23:06,72.8,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
170,680,chapo_cap1,2021-10-29 05:24:06,73.5,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
171,684,chapo_cap1,2021-10-29 05:25:07,74.35,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
172,688,chapo_cap1,2021-10-29 05:26:06,74.72,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
173,692,chapo_cap1,2021-10-29 05:27:06,75.07,"{'x': 650765, 'y': 5715261, 'spatialReference': {'wkid': 32718, 'latestWkid': 32718}}"
